Image_Name,GM_x,GM_y,GM_z,M1_x,M1_y,M1_z,M2_x,M2_y,M2_z
01.jpeg,0.0,-207.2684076665236,87.69997087548458,-5.0,-197.58723615559498,87.02483085391884,-5.0,-121.49890710624825,70.85790272143552
02.jpeg,0.0,-203.40067022550832,105.8462543949044,-5.0,-194.20380214603463,103.31606695374418,-5.0,-119.4473075331889,82.047758417376
03.jpeg,0.0,-199.04193934241405,122.54168117125494,-5.0,-190.25088745936083,119.56758893465388,-5.0,-116.79032867081091,95.55642338780959
04.jpeg,0.0,-193.58683572792214,140.1050604790293,-5.0,-185.20160004128937,136.68706344698745,-5.0,-113.52128050849021,108.07799347007247
05.jpeg,0.0,-187.32009972058935,158.55624937768522,-5.0,-179.29809160754772,153.7469667809475,-5.0,-109.03478375690818,121.93127793865781
06.jpeg,0.0,-181.50176853250628,177.51091425015545,-5.0,-173.03135560021494,172.19815567960347,-5.0,-103.85773047034891,136.2086101432261
07.jpeg,0.0,-173.48400187100384,194.89558002280944,-5.0,-165.29832927726926,189.60267851171528,-5.0,-98.11119650667624,150.44622822887882
08.jpeg,0.0,-164.69719143948979,214.11543615560012,-5.0,-155.8994495458125,207.83543975633526,-5.0,-90.2078156924135,164.06122798397035
09.jpeg,0.0,-154.32301483449913,232.7523880767453,-5.0,-146.74272153008317,225.140677291158,-5.0,-82.8739155552642,177.71594185797755
10.jpeg,0.0,-143.90624960667918,250.44195922863537,-5.0,-136.48962078295625,243.31386735740452,-5.0,-74.35846544105874,190.34384672489836
11.jpeg,0.0,-133.04107955960956,267.6280544067112,-5.0,-125.58186211305733,259.5525817662253,-5.0,-64.70405397262638,202.89232335398796
